,popularity,budget,revenue,original_title,cast,director,runtime,vote_average,release_year,genre,production_company
3257,0.168979,5000000.0,4040588.0,Bottle Shock,Alan Rickman|Chris Pine|Bill Pullman|Rachael Taylor|Freddy RodrÃ­guez,Randall Miller,110,6.4,2008,Comedy,Zininsa Film Production
3258,0.16875,14767252.73739476,40086576.743638255,Bouquet final,Didier Bourdon|Marc-AndrÃ© Grondin|BÃ©rÃ©nice Bejo|Chantal Neuwirth|GÃ©rard Depardieu,Michel Delgado,101,5.4,2008,Comedy,Gaumont
3259,0.19719,10000000.0,40086576.743638255,Kill Switch,Steven Seagal|Holly Dignard|Chris Thomas King|Michael Filipowich|Isaac Hayes,Jeff King,96,4.7,2008,Action,Nu Image Films
3260,0.161881,14767252.73739476,40086576.743638255,Keith,Elisabeth Harnois|Ignacio Serricchio|Jennifer Grey|Jesse McCartney,Todd Kessler,93,7.1,2008,Drama,Image Entertainment
3261,0.161594,14767252.73739476,40086576.743638255,Hamlet 2,Steve Coogan|Catherine Keener|Joseph Julian Soria|Melonie Diaz|Arnie Pantoja,Andrew Fleming,92,5.8,2008,Comedy,unknown
3262,0.160986,14767252.73739476,40086576.743638255,Get Smart's Bruce and Lloyd Out of Control,Masi Oka|Nate Torrence|Jayma Mays|Larry Miller|Patrick Warburton,Gil Junger,71,5.4,2008,Action,Mosaic Media Group
3263,0.16095,14767252.73739476,40086576.743638255,Seventh Moon,Dennis Chan|Tim Chiou|Amy Smart,Eduardo SÃ¡nchez,87,4.1,2008,Horror,Haxan Films
3264,0.160382,14767252.73739476,11295.0,"Otto; or, Up with Dead People",Jey Crisfar|Marcel Schlutt|Nicholas Fox Ricciardi|Susanne SachÃŸe|Katharina Klewinghaus,Bruce LaBruce,94,5.0,2008,Drama,unknown
3265,0.158418,14767252.73739476,850575.0,Faubourg 36,GÃ©rard Jugnot|Clovis Cornillac|Kad Merad|Nora Arnezeder|Pierre Richard,Christophe Barratier,120,5.3,2008,Drama,GalatÃ©e Films
3266,0.1577,3600000.0,40086576.743638255,The Crew,Scot Williams|Kenny Doughty|Rory McCann|Stephen Graham|Rosie Fellner,Adrian Vitoria,117,6.2,2008,Drama,unknown
3267,0.201483,14767252.73739476,40086576.743638255,Donkey Punch,Nichola Burley|Sian Breckin|Jaime Winstone|Robert Boulter|Tom Burke,Olly Blackburn,99,4.0,2008,Horror,Warp X
3268,0.156827,515788.0,40086576.743638255,Long nga,Wu Jing|Celina Jade|Kara Hui|Hui Siu-Hung|Sammy Leung,Nicky Li Chung-Chi,89,6.2,2008,Action,Seasonal Film Corporation
3269,0.199865,14767252.73739476,40086576.743638255,Gardens of the Night,Gillian Jacobs|John Malkovich|Ryan Simpkins|Tom Arnold|Kevin Zegers,Damian Harris,110,6.4,2008,Crime,Shoot Productions
3270,0.156088,14767252.73739476,40086576.743638255,Global Metal,Sam Dunn,Sam Dunn,93,7.1,2008,Documentary,Banger Productions
3271,0.15576,14767252.73739476,40086576.743638255,Bad Biology,Charlee Danielson|Anthony Sneed|Ginger Starr|John A. Thorburn|Tom Kohut,Frank Henenlotter,84,4.9,2008,Fantasy,Bad Biology
3273,0.154248,14767252.73739476,40086576.743638255,Where in the World Is Osama Bin Laden?,Morgan Spurlock,Morgan Spurlock,93,5.9,2008,Documentary,Non Linear Films
3274,0.152386,14767252.73739476,40086576.743638255,Red Mist,Arielle Kebbel|Sarah Carter|Stephen Dillane|Andrew-Lee Potts|Alex Wyndham,Paddy Breathnach,98,4.8,2008,Foreign,Generator Entertainment
3275,0.251071,14767252.73739476,40086576.743638255,Gonzo: The Life and Work of Dr. Hunter S. Thompson,Hunter S. Thompson|Johnny Depp,Alex Gibney,120,6.9,2008,Documentary,unknown
3276,0.147657,4180000.0,11000000.0,Kismat Konnection,Shahid Kapoor|Vidya Balan|Juhi Chawla|Om Puri|Vishal Malhotra,unknown,153,5.8,2008,Drama,Tips Industries
3277,0.258333,14767252.73739476,40086576.743638255,La JournÃ©e de la jupe,Isabelle Adjani|Denis PodalydÃ¨s|Jackie Berroyer|Yann Collette|Karim Zakraoui,Jean-Paul Lilienfeld,88,7.2,2008,Drama,Mascaret Films
3278,0.464581,14767252.73739476,900689.0,The Great Buck Howard,John Malkovich|Colin Hanks|Emily Blunt|Ricky Jay|Steve Zahn,Sean McGinly,87,5.9,2008,Comedy,Bristol Bay Productions
3279,0.145331,14767252.73739476,40086576.743638255,ì•„ê¸°ì™€ ë‚˜,Jang Keun-suk|Song Ha-yoon|Kim Jeong-Nan,Kim Jin-Yeong,96,6.1,2008,unknown,unknown
3280,0.144854,14767252.73739476,40086576.743638255,The Black Balloon,Toni Collette|Rhys Wakefield|Luke Ford|Gemma Ward|Lisa Kowalski,Elissa Down,97,6.8,2008,Drama,Black Balloon Productions
3281,0.142175,14767252.73739476,40086576.743638255,Miss Austen Regrets,Olivia Williams|Imogen Poots|Greta Scacchi|Hugh Bonneville|Jack Huston,Jeremy Lovering,90,5.1,2008,Drama,British Broadcasting Corporation (BBC)
3282,0.142411,14767252.73739476,40086576.743638255,Comme les autres,Lambert Wilson|Pilar LÃ³pez de Ayala|Pascal ElbÃ©|Anne Brochet|AndrÃ©e Damant,Vincent Garenq,90,5.0,2008,Comedy,unknown
3283,0.113082,14767252.73739476,9.0,Parlami D'Amore,Silvio Muccino|Aitana SÃ¡nchez-GijÃ³n|Carolina Crescentini|Andrea Renzi|Flavio Parenti,Silvio Muccino,109,5.1,2008,Comedy,unknown
3284,0.137976,14767252.73739476,40086576.743638255,Visioneers,Zach Galifianakis|Judy Greer|MÃ­a Maestro|Missi Pyle|James Le Gros,Jared Drake,90,5.7,2008,Comedy,Fireside Film
3285,0.136883,14767252.73739476,40086576.743638255,Tropic Thunder: Rain of Madness,Justin Theroux|Jack Black|Steve Coogan|Robert Downey Jr.|Ben Stiller,unknown,30,6.9,2008,Action,unknown
3286,0.135015,14767252.73739476,40086576.743638255,Jolene,Jessica Chastain|Dermot Mulroney|Chazz Palminteri|Michael Vartan|Denise Richards,Dan Ireland,121,6.3,2008,Drama,Next Turn Productions
3287,0.134861,14767252.73739476,40086576.743638255,Race,Saif Ali Khan|Akshaye Khanna|Bipasha Basu|Katrina Kaif|Anil Kapoor,Abbas Alibhai Burmawalla|Mastan Alibhai Burmawalla,161,5.7,2008,Drama,unknown
3288,0.134057,14767252.73739476,40086576.743638255,Shine a Light,Mick Jagger|Keith Richards|Charlie Watts|Ronnie Wood|Christina Aguilera,Martin Scorsese,122,6.9,2008,Documentary,Concert Promotion International
3289,0.09436,14767252.73739476,40086576.743638255,Deux jours Ã  tuer,Albert Dupontel|Marie-JosÃ©e Croze|Pierre Vaneck|Alessandra Martines|FranÃ§ois Marthouret,Jean Becker,85,6.8,2008,Thriller,StudioCanal
3290,0.132306,14767252.73739476,40086576.743638255,Doctor Who: The Next Doctor,David Tennant|David Morrissey|Dervla Kirwan|Velile Tshabalala|Ruari Mears,Andy Goddard,60,6.8,2008,Adventure,BBC Cymru Wales
3291,0.086287,2500000.0,107559.0,Sleep Dealer,Leonor Varela|Jacob Vargas|Luis Fernando PeÃ±a,Alex Rivera,90,5.8,2008,Drama,Likely Story
3292,0.088877,14767252.73739476,40086576.743638255,Signs,Kestie Morassi|Nick Russell,Patrick Hughes,12,7.5,2008,Romance,unknown
3293,0.130306,14767252.73739476,40086576.743638255,One-Eyed Monster,Jason Graham|Charles Napier|Jeff Denton|Veronica Hart|Bart Fletcher,Adam Fields,84,5.1,2008,Comedy,unknown
3294,0.1298,14767252.73739476,40086576.743638255,Food Matters,Ian Brighthope|Jerome Burne|Phillip Day|Charlotte Gerson|Dr. Dan Rogers,James Colquhoun,80,7.0,2008,Documentary,Sunfilm Entertainment
3295,0.128781,4600000.0,40086576.743638255,Alone in the Dark 2,Rick Yune|Lance Henriksen|Bill Moseley|Ralf Moeller|Danny Trejo,Michael Roesch|Peter Scheerer,88,3.2,2008,Action,HJB Filmproduktion
3296,0.12731,15000000.0,317000.0,The Yellow Handkerchief,William Hurt|Maria Bello|Kristen Stewart|Eddie Redmayne|Veronica Russell,Udayan Prasad,102,6.6,2008,Drama,area japan
3297,0.133564,14767252.73739476,40086576.743638255,Witless Protection,Larry the Cable Guy|Ivana MiliÄeviÄ‡|Jenny McCarthy|Yaphet Kotto|Peter Stormare,Charles Robert Carner,97,4.4,2008,Action,Parallel Films
3298,0.152615,14767252.73739476,40086576.743638255,MamÃ¡,Victoria Harris|Irma Monroig|Berta Ros,Andy Muschietti,3,6.0,2008,Horror,Toma 78
3299,0.120405,14767252.73739476,40086576.743638255,Mulligans,Patrick Baynham|Ann Chaland|Dan Payne|Thea Gill|Charlie David,Chip Hale,92,5.6,2008,Drama,unknown
3300,0.117631,14767252.73739476,40086576.743638255,Le Silence de Lorna,Arta Dobroshi|JÃ©rÃ©mie Renier|Fabrizio Rongione|Alban Ukaj|Morgan Marinne,Jean-Pierre Dardenne|Luc Dardenne,105,6.3,2008,Crime,Archipel 35
3301,0.117211,14767252.73739476,40086576.743638255,Parasomnia,Sean Young|Patrick Kilpatrick|Dylan Purcell|Cherilyn Wilson|Jeffrey Combs,William Malone,103,4.6,2008,Horror,Luminous Processes
3302,0.11599,14767252.73739476,40086576.743638255,Sita Sings the Blues,Reena Shah|Debargo Sanyal|Annette Hanshaw|Aseem Chhabra|Bhavana Nagulapally,Nina Paley,82,6.3,2008,Animation,unknown
3303,0.113456,14767252.73739476,40086576.743638255,Go Fast,Roschdy Zem|Olivier Gourmet|David Saracino|Jean-Michel FÃªte|Jil Milan,Olivier Van Hoofstadt,90,5.4,2008,Action,Sofica Europacorp
3304,0.111351,14767252.73739476,307811.0,Bigger Stronger Faster*,Chris Bell|Mark Bellinghaus|Mike Bell,Chris Bell,105,6.8,2008,Documentary,BSF Film
3305,0.051507,14767252.73739476,40086576.743638255,Life After People,John Anderson|David Brin|Bill Bruninga|Ron Chesser|Dr. Howard Oliver,David de Vries,94,6.9,2008,Documentary,Flight 33 Productions
3306,0.1087,14767252.73739476,40086576.743638255,Until the Light Takes Us,Varg Vikernes|Hellhammer,Aaron Aites,93,6.5,2008,Documentary,unknown
3307,0.107245,2000000.0,40086576.743638255,Feast II: Sloppy Seconds,Jenny Wade|Clu Gulager|Diane Ayala Goldner|Martin Klebba|Cassie Shea Watson,John Gulager,97,5.1,2008,Action,Neo Art & Logic
3308,0.104739,14767252.73739476,23311391.0,La Misma Luna,Kate del Castillo|AdriÃ¡n Alonso Barona|Eugenio Derbez|America Ferrera|Angelina PelÃ¡ez,Patricia Riggen,106,7.3,2008,Drama,20th Century Fox
3309,0.10378,14767252.73739476,40086576.743638255,The Clique,Elizabeth McLaughlin|Ellen Marlow|Sophie Anna Everhard|Samantha Boscarino|Bridgit Mendler,Michael Lembeck,87,5.7,2008,Comedy,Alloy Entertainment
3310,0.102845,14767252.73739476,40086576.743638255,Dear Zachary: A Letter to a Son About His Father,Kurt Kuenne|Andrew Bagby|David Bagby|Kathleen Bagby|Shirley Turner,Kurt Kuenne,95,8.3,2008,Crime,MSNBC Films
3311,0.101795,11000000.0,15500000.0,It's Alive,Bijou Phillips|James Murray|RaphaÃ«l Coleman|Owen Teale|Ty Glaser,Josef Rusnak,80,4.2,2008,Horror,Alive Productions
3312,0.101733,3000000.0,40086576.743638255,Fire and Ice: The Dragon Chronicles,Amy Acker|Tom Wisdom|John Rhys-Davies|Arnold Vosloo|Oana Pellea,Pitof,84,4.6,2008,Drama,Media Pro Pictures
3313,0.121316,14767252.73739476,40086576.743638255,Hush,William Ash|Christine Bottomley|Andreas Wisniewski|Claire Keelan|Stuart McQuarrie,Mark Tonderai,91,5.3,2008,Foreign,EM Media
3314,0.012003,14767252.73739476,40086576.743638255,Vilaine,Marilou Berry|FrÃ©dÃ©rique Bel|Chantal Lauby|Pierre-FranÃ§ois Martin-Laval|JosÃ©phine de Meaux,Allan Mauduit,93,5.5,2008,Comedy,KarÃ© Productions
3315,0.364854,5000000.0,40086576.743638255,April Fool's Day,Taylor Cole|Josh Henderson|Scout Taylor-Compton|Joseph McKelheer,Phil Flores|Mitchell Altieri,91,4.1,2008,Horror,360 Pictures
3316,0.093988,14767252.73739476,40086576.743638255,Deal,Burt Reynolds|Bret Harrison|Shannon Elizabeth|Maria Mason|Jennifer Tilly,Gil Cates Jr.,85,5.0,2008,Comedy,Andertainment Group
3317,0.093841,22000000.0,40086576.743638255,Asylum,Sarah Roemer|Jake Muxworthy|Mark Rolston|Travis Van Winkle|Ellen Hollman,David R. Ellis,93,3.5,2008,Horror,Hyde Park Films
3318,0.092419,14767252.73739476,40086576.743638255,Miss Conception,Heather Graham|Mia Kirshner|Tom Ellis|Will Mellor|Orlando Seale,Eric Styles,104,4.6,2008,Comedy,CoproducciÃ³n Irlanda-Alemania
3319,0.092364,14767252.73739476,40086576.743638255,Good,Viggo Mortensen|Jason Isaacs|Mark Strong|Steven Mackintosh|Jodie Whittaker,Vicente Amorim,96,6.4,2008,Drama,unknown
3320,0.090252,14767252.73739476,40086576.743638255,Harold,Cuba Gooding Jr.|Spencer Breslin|Ally Sheedy|Stella Maeve|Nikki Blonsky,T. Sean Shannon,90,4.6,2008,Comedy,unknown
3321,0.08972,170000.0,40086576.743638255,Mum & Dad,Perry Benson|Dido Miles|Olga Fedori|Ainsley Howard|Toby Alexander,Steven Sheil,84,6.3,2008,Horror,EM Media
3322,0.089104,10000000.0,40086576.743638255,Incendiary,Ewan McGregor|Michelle Williams|Matthew Macfadyen|Nicholas Gleaves|Sidney Johnston,Sharon Maguire,113,5.3,2008,Drama,Capitol Films
3323,0.088814,14767252.73739476,40086576.743638255,"Merry Christmas, Drake and Josh",Drake Bell|Josh Peck|Miranda Cosgrove|Bailee Madison|Nancy Sullivan,Michael Grossman,94,5.8,2008,Comedy,Nickelodeon Network
3324,0.087966,14767252.73739476,40086576.743638255,Louis C.K.: Chewed Up,Louis C.K.,Louis C.K.|Shannon Hartman,60,7.8,2008,Comedy,Image Entertainment
3325,0.086851,14767252.73739476,40086576.743638255,Dead Set,Jaime Winstone|Andy Nyman|Davina McCall|Riz Ahmed|Warren Brown,Yann Demange,141,5.8,2008,Comedy,unknown
3326,0.085583,7000000.0,40086576.743638255,The Burrowers,Doug Hutchison|Clancy Brown|William Mapother|Sean Patrick Thomas|Karl Geary,J.T. Petty,96,5.5,2008,Action,Blue Star Pictures
3327,0.083339,14767252.73739476,40086576.743638255,Good Dick,Marianna Palka|Jason Ritter|Eric Edelstein|Martin Starr|Mark Webber,Marianna Palka,86,5.6,2008,Comedy,Good Dick
3328,0.07254,14767252.73739476,119563.0,Were The World Mine,Tanner Cohen|Judy McLane|Zelda Williams|Wendy Robie|Nathan Geist,Tom Gustafson,95,5.4,2008,Music,Speak Productions
3329,0.082898,14767252.73739476,40086576.743638255,"Grande, grosso e Verdone",Carlo Verdone|Claudia Gerini|Eva Riccobono|Vittorio Emanuele Propizio|Andrea Miglio Risi,Carlo Verdone,0,5.3,2008,Family,Filmauro
3330,0.329196,14767252.73739476,40086576.743638255,Not Quite Hollywood,Phillip Adams|Glory Annen|Briony Behets|Steve Bisley|Jamie Blanks,Mark Hartley,103,6.4,2008,Comedy,Magnolia Pictures
3331,0.079309,14767252.73739476,40086576.743638255,The Family That Preys,Kathy Bates|Alfre Woodard|Tyler Perry|Sanaa Lathan|Rockmond Dunbar,Tyler Perry,111,6.4,2008,Drama,Lions Gate Films
3332,0.161552,14767252.73739476,40086576.743638255,Anvil! The Story of Anvil,Steve 'Lips' Kudlow|Robb Reiner|Kevin Goocher|Glenn Gyorffy|William Howell,Sacha Gervasi,90,7.4,2008,Documentary,Zootrope Films
3333,0.07698,14767252.73739476,40086576.743638255,Coco Chanel,Shirley MacLaine|Malcolm McDowell|Jean-Claude Dreyfus|Barbora BobuÄ¾ovÃ¡|Brigitte Boucher,Christian Duguay,139,6.1,2008,Drama,France 2 CinÃ©ma
3334,0.076837,14767252.73739476,40086576.743638255,Princess,Nora Zehetner|Kip Pardue|Nicole Gale Anderson|Deborah Grover|Matthew Edison,Mark Rosman,89,5.0,2008,Fantasy,Princessa Productions
3335,0.210293,14767252.73739476,40086576.743638255,Baby Blues,Colleen Porch|Aiden Kersh|Ridge Canipe|Sean Johnson|Holden Thomas Maynard,Lars Jacobson|Amardeep Kaleka,85,4.9,2008,Drama,Symposium Productions
3336,0.012059,14767252.73739476,40086576.743638255,Fab Five: The Texas Cheerleader Scandal,Jenna Dewan|Ashley Benson|Tatum O'Neal|Aimee Spring Fortier|Jessica Heap,Tom McLoughlin,88,5.2,2008,Drama,Fox
3337,0.077034,14767252.73739476,40086576.743638255,iCarly: iGo to Japan,Miranda Cosgrove|Jennette McCurdy|Nathan Kress|Jerry Trainor|Mary Scheer,Steve Hoefer,99,5.7,2008,Comedy,Nickelodeon Network
3338,0.068383,14767252.73739476,40086576.743638255,Strictly Sexual,Amber Benson|Johann Urb|Kristen Kerr|Stevie Long|Trevor Murphy,Joel Viertel,100,6.3,2008,Drama,unknown
3339,0.067761,14767252.73739476,40086576.743638255,Zeitgeist: Addendum,unknown,Peter Joseph,123,7.0,2008,Documentary,Gentle Machine Productions LLC
3340,0.021371,3500000.0,7700000.0,Expelled: No Intelligence Allowed,Ben Stein|Richard Dawkins|William Dembski|Paul Zachary Myers,Nathan Frankowski,90,4.5,2008,Documentary,Premise Media Corporation
3341,0.064319,14767252.73739476,40086576.743638255,Chiko,Denis Moschitto|Volkan Ã–zcan|Moritz Bleibtreu|Fahri YardÄ±m|Reyhan Sahin,Ã–zgÃ¼r Yildirim,92,6.3,2008,Drama,CorazÃ³n International
3342,0.038133,14767252.73739476,40086576.743638255,Somers Town,Thomas Turgoose|Piotr Jagiello|Elisa Lasowski|Kate Dickie|Perry Benson,Shane Meadows,71,6.8,2008,Comedy,Big Arty Productions
3343,0.060669,14767252.73739476,40086576.743638255,Flirting with Forty,Heather Locklear|Robert Buckley|Vanessa Williams|Cameron Bancroft|Sam Duke,Mikael Salomon,87,3.7,2008,Comedy,PeaceOut Productions
3344,0.054939,14767252.73739476,40086576.743638255,Lake Mungo,Talia Zucker|Rosie Traynor|David Pledger|Martin Sharpe|Steve Jodrell,Joel Anderson,84,5.9,2008,Horror,Mungo Productions
3345,0.049251,14767252.73739476,40086576.743638255,George Carlin: It's Bad for Ya!,George Carlin,Rocco Urbisci,70,7.0,2008,Comedy,Cable Stuff Productions
3346,0.045194,14767252.73739476,40086576.743638255,Home Movie,Adrian Pasdar|Cady McClain|Amber Joy Williams|Austin Williams,Christopher Denham,77,4.7,2008,Drama,ModerncinÃ©
3347,0.044583,14767252.73739476,40086576.743638255,Passchendaele,Paul Gross|Caroline Dhavernas|Joe Dinicol|Meredith Bailey|Adam Harrington,Paul Gross,114,5.5,2008,Drama,Rhombus Media
3348,0.043578,14767252.73739476,40086576.743638255,Maradona by Kusturica,Diego Maradona|Manu Chao|Emir Kusturica,Emir Kusturica,90,5.8,2008,Documentary,unknown
3349,0.042152,14767252.73739476,40086576.743638255,The Horribly Slow Murderer with the Extremely Inefficient Weapon,Paul Clemens|Michael James Kacey|Fay Kato|Melissa Paladino|Brian Rohan,Richard Gale,10,6.6,2008,Comedy,Chaotic Rampage American Pictures
3350,0.037628,14767252.73739476,40086576.743638255,The Black Hole,Napoleon Ryan,Philip Sansom|Olly Williams,3,7.1,2008,Comedy,unknown
3351,0.033634,14767252.73739476,40086576.743638255,One Week,Joshua Jackson|Liane Balaban|Campbell Scott|Peter Spence|Marc Strange,Michael McGowan,94,7.1,2008,Adventure,Mulmur Feed Company
3352,0.033615,14767252.73739476,40086576.743638255,Meu Nome NÃ£o Ã‰ Johnny,Selton Mello|ClÃ©o Pires|JÃºlia Lemmertz|Felipe Severo|Gillray Coutinho,Mauro Lima,124,7.3,2008,Crime,Atitude ProduÃ§Ãµes e Empreendimentos
3353,0.030837,14767252.73739476,40086576.743638255,"Coluche, L'histoire d'un Mec",FranÃ§ois-Xavier Demaison|LÃ©a Drucker|Olivier Gourmet,Antoine de Caunes,103,6.0,2008,Comedy,Mars Distribution
3354,0.030719,14767252.73739476,40086576.743638255,The Wrecking Crew,Lou Adler|Herb Alpert|Hal Blaine|Glen Campbell|Al Casey,Denny Tedesco,101,6.8,2008,Documentary,Lunch Box Entertainment
3355,0.142713,14767252.73739476,40086576.743638255,Tokyo Mater,Larry the Cable Guy|Keith Ferguson,John Lasseter|Victor Navone|Rob Gibbs,6,6.2,2008,Animation,Pixar Animation Studios
3356,0.13654,14767252.73739476,40086576.743638255,John Adams,Paul Giamatti|Laura Linney|Stephen Dillane|Tom Wilkinson|David Morse,Tom Hooper,501,6.6,2008,History,unknown
3357,0.042517,14767252.73739476,40086576.743638255,Bill Burr: Why Do I Do This?,Bill Burr,unknown,55,8.0,2008,Comedy,unknown
3358,0.028143,14767252.73739476,40086576.743638255,Phoebe in Wonderland,Felicity Huffman|Elle Fanning|Patricia Clarkson|Bill Pullman,Daniel Barnz,96,6.9,2008,Drama,Silverwood Films
3359,0.020272,14767252.73739476,40086576.743638255,The Cheetah Girls: One World,Sabrina Bryan|Adrienne Bailon|Kiely Williams|Roshan Seth|Michael Steger,Paul Hoen,90,4.7,2008,Comedy,Walt Disney Pictures
3360,0.01752,14767252.73739476,40086576.743638255,Disgrace,John Malkovich|Eriq Ebouaney|Natalie Becker|Antoinette Engel,Steve Jacobs,120,6.3,2008,Drama,unknown
3361,0.089871,14767252.73739476,40086576.743638255,Era Uma Vez...,Cyria Coentro|Thiago Martins|Rocco Pitanga|VitÃ³ria Frate|Paulo CÃ©sar Grande,Breno Silveira,117,7.0,2008,Drama,unknown
3362,0.030366,14767252.73739476,40086576.743638255,The Little Mermaid: Ariel's Beginning,Jodi Benson|Samuel E. Wright|Sally Field|Jim Cummings|Parker Goris,Peggy Holmes,77,6.7,2008,Family,DisneyToon Studios
3363,0.007487,8000000.0,40086576.743638255,Dante 01,Lambert Wilson|Linh Äan Pháº¡m|Simona Maicanescu|Dominique Pinon|Bruno Lochet,Marc Caro,82,4.5,2008,Science Fiction,Eskwad
3364,0.007325,14767252.73739476,40086576.743638255,Si puÃ² fare,Claudio Bisio|Anita Caprioli,Giulio Manfredonia,111,7.1,2008,Comedy,unknown
3365,0.002475,14767252.73739476,40086576.743638255,Foo Fighters: Live at Wembley Stadium,Dave Grohl|Nate Mendel|Chris Shiflett|Pat Smear|Taylor Hawkins,unknown,120,8.4,2008,Music,unknown
3366,0.005391,14767252.73739476,887029.0,More Than a Game,LeBron James|Romeo Travis|Sian Cotton|Willie McGee|Dru Joyce,Kristopher Belman,105,6.4,2008,Documentary,Harvey Mason Media
3367,0.003238,14767252.73739476,40086576.743638255,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,Miley Cyrus|Nick Jonas|Joe Jonas|Kevin Jonas|Kenny Ortega,Bruce Hendricks,82,5.9,2008,Documentary,Walt Disney Pictures
3368,0.002514,500000.0,40086576.743638255,How to Be,Robert Pattinson|Powell Jones|Johnny White|Mike Pearce|Jeremy Hardy,Oliver Irving,85,4.5,2008,Comedy,How To Be Films
3369,0.001682,14767252.73739476,40086576.743638255,Wizards On Deck With Hannah Montana,unknown,unknown,68,6.1,2008,Family,unknown
3370,0.001317,14767252.73739476,40086576.743638255,Fuera de carta,Javier CÃ¡mara|Lola DueÃ±as|Fernando Tejero|BenjamÃ­n VicuÃ±a|Luis Varela,Nacho G. Velilla,111,5.3,2008,Comedy,TLA Releasing
3371,8.411577,14767252.73739476,40086576.743638255,Underworld: Endless War,Trevor Devall|Brian Dobson|Paul Dobson|Laura Harris|Mark Oliver,Juno John Lee,18,5.9,2011,Action,unknown
3372,7.959228,140000000.0,370569774.0,Captain America: The First Avenger,Chris Evans|Hugo Weaving|Tommy Lee Jones|Hayley Atwell|Sebastian Stan,Joe Johnston,124,6.5,2011,Action,Marvel Studios
3373,5.903353,15000000.0,76175166.0,Drive,Ryan Gosling|Carey Mulligan|Christina Hendricks|Albert Brooks|Bryan Cranston,Nicolas Winding Refn,100,7.3,2011,Drama,Bold Films
3374,5.711315,125000000.0,1327817822.0,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe|Rupert Grint|Emma Watson|Alan Rickman|Maggie Smith,David Yates,130,7.7,2011,Adventure,Warner Bros.
3375,4.95513,380000000.0,1021683000.0,Pirates of the Caribbean: On Stranger Tides,Johnny Depp|PenÃ©lope Cruz|Geoffrey Rush|Ian McShane|Kevin McNally,Rob Marshall,136,6.3,2011,Adventure,Walt Disney Pictures
3376,4.50453,93000000.0,482860185.0,Rise of the Planet of the Apes,Andy Serkis|Karin Konoval|Freida Pinto|James Franco|John Lithgow,Rupert Wyatt,105,6.9,2011,Thriller,20th Century Fox
3377,4.12352,150000000.0,444115007.0,Thor,Chris Hemsworth|Natalie Portman|Tom Hiddleston|Anthony Hopkins|Stellan SkarsgÃ¥rd,Kenneth Branagh,115,6.5,2011,Adventure,Marvel Studios
3378,3.596188,40000000.0,173930596.0,In Time,Justin Timberlake|Amanda Seyfried|Cillian Murphy|Olivia Wilde|Alex Pettyfer,Andrew Niccol,109,6.6,2011,Action,Regency Enterprises
3379,3.355611,50000000.0,28931401.0,Drive Angry,Nicolas Cage|Amber Heard|William Fichtner|Billy Burke|David Morse,Patrick Lussier,105,5.3,2011,Fantasy,Summit Entertainment
3380,3.186679,40000000.0,51070807.0,The Mechanic,Jason Statham|Ben Foster|Donald Sutherland|Mini Anden|Tony Goldwyn,Simon West,93,6.3,2011,Action,CBS Films
3381,2.994474,32000000.0,147332697.0,Source Code,Jake Gyllenhaal|Michelle Monaghan|Vera Farmiga|Russell Peters|Michael Arden,Duncan Jones,93,7.0,2011,Thriller,The Mark Gordon Company
3382,2.95274,145000000.0,694713380.0,Mission: Impossible - Ghost Protocol,Tom Cruise|Jeremy Renner|Simon Pegg|Paula Patton|Anil Kapoor,Brad Bird,133,6.7,2011,Action,Paramount Pictures
3383,2.924415,50000000.0,142851197.0,"Crazy, Stupid, Love.",Steve Carell|Julianne Moore|Ryan Gosling|Emma Stone|Marisa Tomei,Glenn Ficarra|John Requa,118,6.9,2011,Comedy,Warner Bros.
3384,2.776061,90000000.0,232617430.0,The Girl with the Dragon Tattoo,Daniel Craig|Rooney Mara|Christopher Plummer|Goran Visnjic|Stellan SkarsgÃ¥rd,David Fincher,158,7.1,2011,Thriller,Columbia Pictures
3385,2.754426,27000000.0,161849455.0,Limitless,Bradley Cooper|Robert De Niro|Abbie Cornish|Andrew Howard|Anna Friel,Neil Burger,105,7.0,2011,Thriller,Rogue Pictures
3386,2.726573,150000000.0,665692281.0,Kung Fu Panda 2,Jack Black|Angelina Jolie|Dustin Hoffman|Gary Oldman|Jackie Chan,Jennifer Yuh,91,6.6,2011,Animation,DreamWorks Animation
3387,2.690458,80000000.0,214918407.0,Just Go With It,Jennifer Aniston|Adam Sandler|Nicole Kidman|Bailee Madison|Griffin Gluck,Dennis Dugan,117,6.3,2011,Romance,Columbia Pictures
3388,2.686643,35000000.0,117000000.0,Horrible Bosses,Jennifer Aniston|Jason Bateman|Charlie Day|Jason Sudeikis|Colin Farrell,Seth Gordon,98,6.4,2011,Comedy,New Line Cinema
3389,2.657014,110000000.0,299268508.0,Real Steel,Hugh Jackman|Dakota Goyo|Evangeline Lilly|Anthony Mackie|Kevin Durand,Shawn Levy,127,6.5,2011,Action,DreamWorks SKG
3390,2.633754,35000000.0,150483765.0,Friends with Benefits,Justin Timberlake|Mila Kunis|Patricia Clarkson|Woody Harrelson|Nolan Gould,Will Gluck,109,6.5,2011,Comedy,Castle Rock Entertainment
